Time(s),Input,Output_Displacement
17.9,1.991,5.574
18,2.000,5.658
18.1,1.994,5.743
18.2,1.974,5.827
18.3,1.940,5.911
18.4,1.892,5.992
18.5,1.831,6.069
18.6,1.759,6.142
18.7,1.675,6.210
0.1,1.582,6.271
0.2,1.481,6.325
0.3,1.372,6.371
0.4,1.259,6.409
0.5,1.141,6.438
0.6,1.022,6.457
0.7,0.902,6.467
0.8,0.783,6.468
0.9,0.668,6.459
1,0.557,6.441
1.1,0.453,6.414
1.2,0.357,6.379
1.3,0.270,6.335
1.4,0.193,6.284
1.5,0.128,6.226
1.6,0.076,6.163
1.7,0.037,6.094
1.8,0.012,6.022
1.9,0.001,5.947
2,0.004,5.870
2.1,0.021,5.793
2.2,0.053,5.716
2.3,0.099,5.641
2.4,0.157,5.568
2.5,0.227,5.499
2.6,0.309,5.435
2.7,0.400,5.377
2.8,0.500,5.325
2.9,0.608,5.280
3,0.721,5.243
3.1,0.838,5.214
3.2,0.957,5.194
3.3,1.077,5.183
3.4,1.196,5.182
3.5,1.312,5.189
3.6,1.423,5.206
3.7,1.528,5.231
3.8,1.626,5.265
3.9,1.715,5.307
4,1.794,5.357
4.1,1.861,5.413
4.2,1.916,5.474
4.3,1.957,5.541
4.4,1.985,5.612
4.5,1.999,5.686
4.6,1.998,5.761
4.7,1.983,5.838
4.8,1.954,5.914
4.9,1.911,5.989
5,1.855,6.061
5.1,1.786,6.130
5.2,1.707,6.194
5.3,1.617,6.253
5.4,1.518,6.306
5.5,1.412,6.351
5.6,1.300,6.389
5.7,1.184,6.419
5.8,1.065,6.440
5.9,0.945,6.452
5.99999999999999,0.826,6.455
6.09999999999999,0.709,6.449
6.19999999999999,0.597,6.433
6.29999999999999,0.490,6.409
6.39999999999999,0.391,6.377
6.49999999999999,0.300,6.336
6.59999999999999,0.220,6.288
6.69999999999999,0.150,6.233
6.79999999999999,0.093,6.172
6.89999999999999,0.049,6.106
6.99999999999999,0.019,6.036
7.09999999999999,0.003,5.963
7.19999999999999,0.001,5.887
7.29999999999999,0.013,5.811
7.39999999999999,0.040,5.735
7.49999999999999,0.081,5.660
7.59999999999999,0.134,5.587
7.69999999999999,0.201,5.517
7.79999999999999,0.278,5.452
7.89999999999999,0.366,5.392
7.99999999999999,0.463,5.339
8.09999999999999,0.568,5.292
8.19999999999999,0.679,5.252
8.29999999999999,0.795,5.221
8.39999999999999,0.914,5.199
8.49999999999999,1.034,5.185
8.59999999999999,1.153,5.181
8.69999999999999,1.270,5.185
8.79999999999998,1.384,5.199
8.89999999999998,1.491,5.222
8.99999999999998,1.592,5.253
9.09999999999998,1.684,5.292
9.19999999999998,1.767,5.339
9.29999999999998,1.838,5.393
9.39999999999998,1.897,5.453
9.49999999999998,1.944,5.518
9.59999999999998,1.977,5.587
9.69999999999998,1.995,5.660
9.79999999999998,2.000,5.735
9.89999999999998,1.990,5.811
9.99999999999998,1.966,5.888
10.1,1.928,5.963
10.2,1.876,6.036
10.3,1.812,6.107
10.4,1.737,6.173
10.5,1.650,6.233
10.6,1.555,6.288
10.7,1.451,6.336
10.8,1.341,6.377
10.9,1.226,6.410
11,1.108,6.434
11.1,0.988,6.449
11.2,0.868,6.455
11.3,0.751,6.452
11.4,0.636,6.440
11.5,0.528,6.419
11.6,0.425,6.390
11.7,0.332,6.352
11.8,0.247,6.306
11.9,0.174,6.253
12,0.112,6.195
12.1,0.064,6.130
12.2,0.028,6.061
12.3,0.007,5.989
12.4,0.000,5.914
12.5,0.007,5.838
12.6,0.029,5.762
12.7,0.065,5.686
12.8,0.114,5.613
12.9,0.175,5.542
13,0.249,5.475
13.1,0.333,5.413
13.2,0.427,5.357
13.3,0.530,5.308
13.4,0.639,5.266
13.5,0.753,5.231
13.6,0.871,5.206
13.7,0.990,5.189
13.8,1.110,5.181
13.9,1.228,5.182
14,1.343,5.193
14.1,1.453,5.212
14.2,1.557,5.240
14.3,1.652,5.277
14.4,1.738,5.321
14.5,1.814,5.373
14.6,1.877,5.430
14.7,1.929,5.494
14.8,1.966,5.562
14.9,1.990,5.634
15,2.000,5.708
15.1,1.995,5.784
15.2,1.976,5.860
15.3,1.943,5.936
15.4,1.896,6.010
15.5,1.837,6.082
15.6,1.765,6.149
15.7,1.682,6.212
15.8,1.590,6.269
15.9,1.489,6.320
16,1.381,6.363
16.1,1.268,6.399
16.2,1.151,6.426
16.3,1.031,6.445
16.4,0.911,6.454
16.5,0.793,6.455
16.6,0.677,6.446
16.7,0.566,6.428
16.8,0.461,6.401
16.9,0.364,6.366
17,0.277,6.323
17.1,0.199,6.273
17.2,0.133,6.216
17.3,0.080,6.154
17.4,0.039,6.087
17.5,0.013,6.016
17.6,0.001,5.942
17.7,0.003,5.866
17.8,0.020,5.789
17.9,0.050,5.713
18,0.094,5.639
18.1,0.152,5.567
18.2,0.221,5.498
18.3,0.302,5.435
18.4,0.393,5.376
18.5,0.492,5.325
18.6,0.599,5.280
18.7,0.711,5.243
18.8,0.828,5.214
18.9,0.947,5.194
19,1.067,5.183
19.1,1.186,5.181
19.2,1.302,5.188
19.3,1.414,5.204
19.4,1.520,5.229
19.5,1.619,5.263
19.6,1.708,5.304
19.7,1.788,5.353
19.8,1.856,5.409
19.9,1.912,5.470
20,1.954,5.537
20.1,1.983,5.607
20.2,1.998,5.681
20.3,1.998,5.757
20.4,1.984,5.833
20.5,1.956,5.909
20.6,1.915,5.984
20.7,1.860,6.056
20.8,1.792,6.126
20.9,1.713,6.190
21,1.624,6.249
21.1,1.526,6.303
21.2,1.421,6.349
21.3,1.309,6.387
21.4,1.193,6.417
21.5,1.074,6.439
21.6,0.954,6.452
21.7,0.835,6.455
21.8,0.718,6.450
21.9,0.605,6.435
22,0.498,6.412
22.1,0.398,6.380
22.2,0.307,6.340
22.3,0.226,6.292
22.4,0.155,6.238
22.5,0.097,6.177
22.6000000000001,0.052,6.111
22.7000000000001,0.021,6.042
22.8000000000001,0.004,5.968
22.9000000000001,0.001,5.893
23.0000000000001,0.012,5.817
23.1000000000001,0.038,5.741
23.2000000000001,0.077,5.665
23.3000000000001,0.130,5.592
23.4000000000001,0.195,5.523
23.5000000000001,0.272,5.457
23.6000000000001,0.359,5.397
23.7000000000001,0.455,5.342
23.8000000000001,0.560,5.295
23.9000000000001,0.670,5.255
24.0000000000001,0.786,5.223
24.1000000000001,0.904,5.200
24.2000000000001,1.024,5.186
24.3000000000001,1.144,5.180
24.4000000000001,1.261,5.184
24.5000000000001,1.375,5.197
24.6000000000001,1.483,5.219
24.7000000000001,1.584,5.250
24.8000000000001,1.677,5.289
24.9000000000001,1.760,5.335
25.0000000000001,1.833,5.388
25.1000000000001,1.893,5.448
25.2000000000001,1.940,5.512
25.3000000000001,1.974,5.582
25.4000000000001,1.994,5.654
25.5000000000001,2.000,5.729
25.6000000000001,1.991,5.805
25.7000000000001,1.968,5.882
25.8000000000001,1.931,5.957
25.9000000000001,1.881,6.031
26.0000000000001,1.818,6.101
26.1000000000001,1.743,6.168
26.2000000000001,1.658,6.229
26.3000000000001,1.563,6.284
26.4000000000001,1.460,6.333
26.5000000000001,1.350,6.374
26.6000000000001,1.235,6.408
26.7000000000001,1.117,6.432
26.8000000000001,0.998,6.448
26.9000000000001,0.878,6.455
27.0000000000001,0.760,6.453
27.1000000000001,0.645,6.442
27.2000000000001,0.536,6.421
27.3000000000001,0.433,6.392
27.4000000000001,0.339,6.355
27.5000000000001,0.254,6.310
27.6000000000001,0.179,6.258
27.7000000000001,0.117,6.199
27.8000000000001,0.067,6.136
27.9000000000001,0.031,6.067
28.0000000000001,0.008,5.995
28.1000000000001,0.000,5.920
28.2000000000001,0.006,5.844
28.3000000000001,0.027,5.768
28.4000000000001,0.061,5.692
28.5000000000001,0.109,5.618
28.6000000000001,0.170,5.547
28.7000000000001,0.243,5.480
28.8000000000001,0.326,5.418
28.9000000000001,0.420,5.361
29.0000000000001,0.521,5.311
29.1000000000001,0.630,5.269
29.2000000000001,0.744,5.234
29.3000000000001,0.861,5.207
29.4000000000001,0.981,5.190
29.5000000000001,1.101,5.181
29.6000000000002,1.219,5.182
29.7000000000002,1.334,5.192
29.8000000000002,1.445,5.210
29.9000000000002,1.549,5.238
30.0000000000002,1.645,5.274
