Time(s),Input,Output_Displacement
10.4,1.551,5.779
10.5,1.833,5.758
10.6,1.983,5.747
10.7,1.977,5.747
10.8,1.818,5.758
10.9,1.529,5.778
11,1.157,5.805
11.1,0.760,5.834
11.2,0.401,5.861
11.3,0.136,5.880
11.4,0.008,5.890
11.5,0.037,5.889
11.6,0.217,5.876
11.7,0.521,5.854
11.8,0.901,5.827
11.9,1.296,5.798
12,1.645,5.772
12.1,1.892,5.754
12.2,1.998,5.746
12.3,1.946,5.749
12.4,1.745,5.763
12.5,1.427,5.786
12.6,1.041,5.814
12.7,0.648,5.842
12.8,0.312,5.867
12.9,0.083,5.884
13,0.000,5.891
13.1,0.075,5.886
13.2,0.295,5.870
13.3,0.627,5.846
13.4,1.018,5.818
13.5,1.406,5.790
13.6,1.730,5.766
13.7,1.938,5.750
13.8,1.999,5.745
13.9,1.902,5.752
14,1.662,5.769
14.1,1.318,5.793
14.2,0.924,5.822
14.3,0.542,5.850
14.4,0.232,5.873
14.5,0.043,5.887
14.6,0.006,5.890
14.7,0.125,5.882
14.8,0.383,5.864
14.9,0.738,5.838
15,1.134,5.810
15.1,1.509,5.782
15.2,1.804,5.760
15.3,1.972,5.748
15.4,1.987,5.746
15.5,1.845,5.756
15.6,1.570,5.775
15.7,1.206,5.802
15.8,0.808,5.831
15.9,0.441,5.857
16,0.162,5.878
16.1,0.016,5.889
16.2,0.025,5.889
16.3,0.187,5.878
16.4,0.478,5.857
16.5,0.852,5.830
16.6,1.249,5.801
16.7,1.606,5.775
16.8,1.868,5.756
16.9,1.993,5.746
17,1.961,5.748
17.1,1.777,5.761
17.2,1.471,5.782
17.3,1.090,5.810
17.4,0.695,5.839
17.5,0.348,5.864
17.6,0.104,5.882
17.7,0.002,5.891
17.8,0.057,5.887
17.9,0.261,5.873
18,0.581,5.850
18.1,0.968,5.822
18.2,1.360,5.793
18.3,1.695,5.769
18.4,1.920,5.752
18.5,2.000,5.745
18.6,1.922,5.750
18.7,1.699,5.766
18.8,1.365,5.790
18.9,0.973,5.818
19,0.586,5.847
19.1,0.264,5.871
19.2,0.059,5.886
19.3,0.002,5.891
19.4,0.102,5.884
19.5,0.344,5.867
19.6,0.690,5.842
19.7,1.085,5.813
19.8,1.466,5.785
19.9,1.774,5.763
20,1.959,5.749
20.1,1.993,5.746
20.2,1.871,5.754
20.3,1.610,5.772
20.4,1.254,5.798
20.5,0.857,5.827
20.6,0.483,5.854
20.7,0.190,5.876
20.8,0.026,5.889
20.9,0.015,5.890
21,0.159,5.880
21.1,0.437,5.860
21.2,0.803,5.834
21.3,1.200,5.805
21.4,1.566,5.778
21.5,1.842,5.758
21.6,1.986,5.747
21.7,1.973,5.747
21.8,1.807,5.758
21.9,1.514,5.779
22,1.139,5.806
22.1,0.743,5.835
22.2,0.387,5.861
22.3,0.128,5.881
22.4,0.006,5.890
22.5,0.042,5.888
